Winter.treatment,Origin,Population,MotherID,Spiderling,Photo,Cocoon_number,Oviposition_date,Planned.opening.Date,Planned.opening.time,Opened.by,Actual.opening.date,Actual.opening.time,SCP,Block_ID,Datalogger_ID,Photo.by,Measured.by,Leg.length,Which.leg.,Notes,round,Mother_LegLength_um,MotherMeasuredBy,MotherLegLengthNotes,Exclude
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_e,n,2,20-08-18,20-04-19,0.625,T. Moeller,20-04-19,0.625,-29.08,A,C,A.Machnis,A.Machnis,426.28,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_f,n,2,20-08-18,20-04-19,0.625,T. Moeller,20-04-19,0.625,-28.96,A,C,A.Machnis,A.Machnis,450.6,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_g,n,2,20-08-18,20-04-19,0.625,T. Moeller,20-04-19,0.625,-28.46,A,C,A.Machnis,A.Machnis,445.34,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_h,n,2,20-08-18,20-04-19,0.625,T. Moeller,20-04-19,0.625,-28.74,A,C,A.Machnis,A.Machnis,478.62,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_a,n,1,13-08-18,13-04-19,0.625,L. Zander,13-04-19,0.625,-27.6,B,A,NA,NA,NA,NA,deformed,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_b,n,1,13-08-18,13-04-19,0.625,L. Zander,13-04-19,0.625,-28.77,B,A,NA,NA,NA,NA,deformed,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_c,n,1,13-08-18,13-04-19,0.625,L. Zander,13-04-19,0.625,-28.21,B,A,NA,NA,NA,NA,deformed,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_d,n,1,13-08-18,13-04-19,0.625,L. Zander,13-04-19,0.625,-23.52,B,A,NA,NA,NA,NA,deformed,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_e,n,1,13-08-18,13-04-19,0.625,L. Zander,13-04-19,0.625,-26.64,B,A,NA,NA,NA,NA,deformed,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_f,n,1,13-08-18,13-04-19,0.625,L. Zander,13-04-19,0.625,-26.08,B,A,NA,NA,NA,NA,deformed,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_g,n,1,13-08-18,13-04-19,0.625,L. Zander,13-04-19,0.625,-28.76,B,A,NA,NA,NA,NA,deformed,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_h,n,1,13-08-18,13-04-19,0.625,L. Zander,13-04-19,0.625,-28.59,B,A,NA,NA,NA,NA,deformed,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_a,n,2,28-08-18,28-04-19,0.375,J. Balk,28-04-19,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_b,n,2,28-08-18,28-04-19,0.375,J. Balk,28-04-19,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_c,n,2,28-08-18,28-04-19,0.375,J. Balk,28-04-19,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_d,n,2,28-08-18,28-04-19,0.375,J. Balk,28-04-19,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_e,n,2,28-08-18,28-04-19,0.375,J. Balk,28-04-19,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_f,n,2,28-08-18,28-04-19,0.375,J. Balk,28-04-19,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_g,n,2,28-08-18,28-04-19,0.375,J. Balk,28-04-19,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,post,6599.96,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-10,E18-Paernu-10_h,n,2,28-08-18,28-04-19,0.375,J. Balk,28-04-19,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,post,6599.96,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_a,n,1,08-08-18,11-04-19,0.375,T. Moeller,11-04-19,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_b,n,1,08-08-18,11-04-19,0.375,T. Moeller,11-04-19,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_c,n,1,08-08-18,11-04-19,0.375,T. Moeller,11-04-19,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_d,n,1,08-08-18,11-04-19,0.375,T. Moeller,11-04-19,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_e,n,1,08-08-18,11-04-19,0.375,T. Moeller,11-04-19,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_f,n,1,08-08-18,11-04-19,0.375,T. Moeller,11-04-19,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_g,n,1,08-08-18,11-04-19,0.375,T. Moeller,11-04-19,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_h,n,1,08-08-18,11-04-19,0.375,T. Moeller,11-04-19,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_a,n,2,23-08-18,25-04-19,0.375,L. Zander,25-04-19,0.40625,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_b,n,2,23-08-18,25-04-19,0.375,L. Zander,25-04-19,0.40625,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_c,n,2,23-08-18,25-04-19,0.375,L. Zander,25-04-19,0.40625,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_d,n,2,23-08-18,25-04-19,0.375,L. Zander,25-04-19,0.40625,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_e,n,2,23-08-18,25-04-19,0.375,L. Zander,25-04-19,0.40625,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_f,n,2,23-08-18,25-04-19,0.375,L. Zander,25-04-19,0.40625,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_g,n,2,23-08-18,25-04-19,0.375,L. Zander,25-04-19,0.40625,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,Estonia,Paernu,E18-Paernu-101,E18-Paernu-101_h,n,2,23-08-18,25-04-19,0.375,L. Zander,25-04-19,0.40625,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs,
Estonia,France,Paernu,E18-Paernu-102,E18-Paernu-102_a,n,1,29-08-18,28-04-19,0.375,M. Sheffer,28-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,6622.37,M. Sheffer,NA,
Estonia,France,Paernu,E18-Paernu-102,E18-Paernu-102_b,n,1,29-08-18,28-04-19,0.375,M. Sheffer,28-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,6622.37,M. Sheffer,NA,
Estonia,France,Paernu,E18-Paernu-102,E18-Paernu-102_c,n,1,29-08-18,28-04-19,0.375,M. Sheffer,28-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,6622.37,M. Sheffer,NA,
Estonia,France,Paernu,E18-Paernu-102,E18-Paernu-102_d,n,1,29-08-18,28-04-19,0.375,M. Sheffer,28-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,6622.37,M. Sheffer,NA,
Estonia,France,Paernu,E18-Paernu-102,E18-Paernu-102_e,n,1,29-08-18,28-04-19,0.375,M. Sheffer,28-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,6622.37,M. Sheffer,NA,
Estonia,France,Paernu,E18-Paernu-102,E18-Paernu-102_f,n,1,29-08-18,28-04-19,0.375,M. Sheffer,28-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,6622.37,M. Sheffer,NA,
Estonia,France,Paernu,E18-Paernu-102,E18-Paernu-102_g,n,1,29-08-18,28-04-19,0.375,M. Sheffer,28-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,6622.37,M. Sheffer,NA,
Estonia,France,Paernu,E18-Paernu-102,E18-Paernu-102_h,n,1,29-08-18,28-04-19,0.375,M. Sheffer,28-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,6622.37,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-107,E18-Paernu-107_a,n,1,22-08-18,22-04-19,0.625,M. Sheffer,22-04-19,0.628472222,-28.96,C,D,A.Machnis,A.Machnis,527.99,right,NA,post,6360.32,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-107,E18-Paernu-107_b,n,1,22-08-18,22-04-19,0.625,M. Sheffer,22-04-19,0.628472222,-28.59,C,D,A.Machnis,A.Machnis,565.83,right,NA,post,6360.32,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-107,E18-Paernu-107_c,n,1,22-08-18,22-04-19,0.625,M. Sheffer,22-04-19,0.628472222,-29.29,C,D,A.Machnis,A.Machnis,526.27,right,NA,post,6360.32,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-107,E18-Paernu-107_d,n,1,22-08-18,22-04-19,0.625,M. Sheffer,22-04-19,0.628472222,-27.91,C,D,A.Machnis,A.Machnis,533.82,right,NA,post,6360.32,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-107,E18-Paernu-107_e,n,1,22-08-18,22-04-19,0.625,M. Sheffer,22-04-19,0.628472222,-28.73,C,D,A.Machnis,A.Machnis,516.8,right,NA,post,6360.32,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-107,E18-Paernu-107_f,n,1,22-08-18,22-04-19,0.625,M. Sheffer,22-04-19,0.628472222,-24.46,C,D,A.Machnis,A.Machnis,518.67,right,NA,post,6360.32,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-107,E18-Paernu-107_g,n,1,22-08-18,22-04-19,0.625,M. Sheffer,22-04-19,0.628472222,-23.68,C,D,NA,NA,NA,NA,deformed,post,6360.32,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-107,E18-Paernu-107_h,n,1,22-08-18,22-04-19,0.625,M. Sheffer,22-04-19,0.628472222,-27.9,C,D,A.Machnis,A.Machnis,499.52,right,NA,post,6360.32,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-109,E18-Paernu-109_a,n,1,04-08-18,04-04-19,0.625,T. Moeller,04-04-19,0.625,-25.33,C,A,A.Machnis,A.Machnis,597.86,right,NA,post,6491.99,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-109,E18-Paernu-109_b,n,1,04-08-18,04-04-19,0.625,T. Moeller,04-04-19,0.625,-27.89,C,A,A.Machnis,A.Machnis,609.34,right,NA,post,6491.99,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-109,E18-Paernu-109_c,n,1,04-08-18,04-04-19,0.625,T. Moeller,04-04-19,0.625,-26.68,C,A,A.Machnis,A.Machnis,553.13,right,NA,post,6491.99,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-109,E18-Paernu-109_d,n,1,04-08-18,04-04-19,0.625,T. Moeller,04-04-19,0.625,-26.15,C,A,A.Machnis,A.Machnis,591.42,right,NA,post,6491.99,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-109,E18-Paernu-109_e,n,1,04-08-18,04-04-19,0.625,T. Moeller,04-04-19,0.625,-21.66,C,A,A.Machnis,A.Machnis,565.37,right,NA,post,6491.99,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-109,E18-Paernu-109_f,n,1,04-08-18,04-04-19,0.625,T. Moeller,04-04-19,0.625,-24.9,C,A,A.Machnis,A.Machnis,581.19,right,NA,post,6491.99,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-109,E18-Paernu-109_g,n,1,04-08-18,04-04-19,0.625,T. Moeller,04-04-19,0.625,-27.43,C,A,A.Machnis,A.Machnis,579.85,right,NA,post,6491.99,M. Sheffer,NA,
France,Estonia,Paernu,E18-Paernu-109,E18-Paernu-109_h,n,1,04-08-18,04-04-19,0.625,T. Moeller,04-04-19,0.625,-25.92,C,A,A.Machnis,A.Machnis,583.11,right,NA,post,6491.99,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-115,E18-Paernu-115_a,n,1,04-08-18,04-04-19,0.625,M. Sheffer,04-04-19,0.625,-28.19,B,D,A.Machnis,A.Machnis,582.83,right,NA,post,6157.01,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-115,E18-Paernu-115_b,n,1,04-08-18,04-04-19,0.625,M. Sheffer,04-04-19,0.625,-28.09,B,D,A.Machnis,A.Machnis,537.56,right,NA,post,6157.01,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-115,E18-Paernu-115_c,n,1,04-08-18,04-04-19,0.625,M. Sheffer,04-04-19,0.625,-28.78,B,D,A.Machnis,A.Machnis,551.54,right,NA,post,6157.01,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-115,E18-Paernu-115_d,n,1,04-08-18,04-04-19,0.625,M. Sheffer,04-04-19,0.625,-20.07,B,D,A.Machnis,A.Machnis,535.13,right,NA,post,6157.01,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-115,E18-Paernu-115_e,n,1,04-08-18,04-04-19,0.625,M. Sheffer,04-04-19,0.625,-28.9,B,D,A.Machnis,A.Machnis,552.28,right,NA,post,6157.01,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-115,E18-Paernu-115_f,n,1,04-08-18,04-04-19,0.625,M. Sheffer,04-04-19,0.625,-27.99,B,D,A.Machnis,A.Machnis,575.8,left,NA,post,6157.01,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-115,E18-Paernu-115_g,n,1,04-08-18,04-04-19,0.625,M. Sheffer,04-04-19,0.625,-28.02,B,D,A.Machnis,A.Machnis,568.89,right,NA,post,6157.01,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-115,E18-Paernu-115_h,n,1,04-08-18,04-04-19,0.625,M. Sheffer,04-04-19,0.625,-15.93,B,D,A.Machnis,A.Machnis,575.5,left,NA,post,6157.01,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-120,E18-Paernu-120_a,n,1,05-08-18,05-04-19,0.625,J. Balk,05-04-19,0.625,-24.67,A,D,A.Machnis,A.Machnis,570.22,right,NA,post,5979.43,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-120,E18-Paernu-120_b,n,1,05-08-18,05-04-19,0.625,J. Balk,05-04-19,0.625,-26.95,A,D,A.Machnis,A.Machnis,573.74,right,NA,post,5979.43,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-120,E18-Paernu-120_c,n,1,05-08-18,05-04-19,0.625,J. Balk,05-04-19,0.625,-27.41,A,D,A.Machnis,A.Machnis,562.67,right,NA,post,5979.43,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-120,E18-Paernu-120_d,n,1,05-08-18,05-04-19,0.625,J. Balk,05-04-19,0.625,-25.17,A,D,A.Machnis,A.Machnis,592.83,right,NA,post,5979.43,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-120,E18-Paernu-120_e,n,1,05-08-18,05-04-19,0.625,J. Balk,05-04-19,0.625,-25.47,A,D,A.Machnis,A.Machnis,547.24,right,NA,post,5979.43,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-120,E18-Paernu-120_f,n,1,05-08-18,05-04-19,0.625,J. Balk,05-04-19,0.625,-20.35,A,D,A.Machnis,A.Machnis,587.56,right,NA,post,5979.43,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-120,E18-Paernu-120_g,n,1,05-08-18,05-04-19,0.625,J. Balk,05-04-19,0.625,-27.74,A,D,A.Machnis,A.Machnis,596.17,right,NA,post,5979.43,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-120,E18-Paernu-120_h,n,1,05-08-18,05-04-19,0.625,J. Balk,05-04-19,0.625,-23.66,A,D,A.Machnis,A.Machnis,595.46,right,NA,post,5979.43,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-120,E18-Paernu-120_a,n,2,16-08-18,16-04-19,0.625,M. Sheffer,16-04-19,0.625,-29.15,B,B,A.Machnis,A.Machnis,524.21,right,NA,post,5979.43,M. Sheffer,NA,
Estonia,Estonia,Paernu,E18-Paernu-120,E18-Paernu-120_b,n,2,16-08-18,16-04-19,0.625,M. Sheffer,16-04-19,0.625,-27.6,B,B,A.Machnis,A.Machnis,513.54,right,NA,post,5979.43,M. Sheffer,NA,
